Model,Version,Category,Dice,Hit Rate
DAGG,Submission 1,1a,8.171937565729187e-11,0.0
DAGG,Submission 1,1b,0.02043338503386849,0.0
DAGG,Submission 1,1c,0.19767979296952584,0.35294117647058826
DAGG,Submission 1,1d,0.03296467325672716,0.16666666666666666
DAGG,Submission 1,1e,0.11473646047202084,0.42857142857142855
DAGG,Submission 1,1f,0.04588688154480241,0.3333333333333333
DAGG,Submission 1,2a,0.10245145141949231,0.3469387755102041
DAGG,Submission 1,2b,0.2707184723548436,0.5555555555555556
DAGG,Submission 1,2c,0.1962703452462624,0.4444444444444444
DAGG,Submission 1,2d,0.29599144467198646,0.603448275862069
DAGG,Submission 1,2e,0.21202713002059884,0.42857142857142855
DAGG,Submission 1,2f,0.0,0.0
DAGG,Submission 1,2g,0.18674041382148437,1.0
DAGG,Submission 1,2h,0.4635256128253082,1.0
DAGG,Submission 2,1a,1.0252204222857062e-10,0.0
DAGG,Submission 2,1b,0.04055798224619088,0.0
DAGG,Submission 2,1c,0.24627728459039452,0.5294117647058824
DAGG,Submission 2,1d,0.0492605570312487,0.16666666666666666
DAGG,Submission 2,1e,0.10963795147435385,0.42857142857142855
DAGG,Submission 2,1f,0.009144228234447686,0.0
DAGG,Submission 2,2a,0.19114715683843905,0.5306122448979592
DAGG,Submission 2,2b,0.2903389875230533,0.5833333333333334
DAGG,Submission 2,2c,0.22444350797453547,0.4722222222222222
DAGG,Submission 2,2d,0.28721836704217474,0.6379310344827587
DAGG,Submission 2,2e,0.1403092083839187,0.2857142857142857
DAGG,Submission 2,2f,0.0,0.0
DAGG,Submission 2,2g,0.05824475839834006,0.0
DAGG,Submission 2,2h,0.4338335607269678,1.0
SAT-FT,,1a,0.05140555708963431,0.0
SAT-FT,,1b,0.035537326117610166,0.0
SAT-FT,,1c,0.0106081528211491,0.058823529411764705
SAT-FT,,1d,0.052853352129271974,0.16666666666666666
SAT-FT,,1e,0.15277620028843017,0.42857142857142855
SAT-FT,,1f,0.13244918754676108,0.3333333333333333
SAT-FT,,2a,0.11939475496238992,0.3877551020408163
SAT-FT,,2b,0.2498819299449746,0.5833333333333334
SAT-FT,,2c,0.28046609684499224,0.5555555555555556
SAT-FT,,2d,0.19127189164618455,0.6379310344827587
SAT-FT,,2e,0.13522823606536147,0.42857142857142855
SAT-FT,,2f,0.0,0.0
SAT-FT,,2g,0.06446267807263796,0.0
SAT-FT,,2h,0.28293445069094997,1.0
BiomedParseV2,,1a,0.030969374945040814,0.0
BiomedParseV2,,1b,0.0006149396483892234,0.0
BiomedParseV2,,1c,0.0024812664403555383,0.0
BiomedParseV2,,1d,0.00940818409583964,0.0
BiomedParseV2,,1e,0.0004032433258558821,0.0
BiomedParseV2,,1f,0.13920828281981948,0.6666666666666666
BiomedParseV2,,2a,0.006224166116457153,0.0
BiomedParseV2,,2b,0.039705542740708255,0.1111111111111111
BiomedParseV2,,2c,0.059850019255154284,0.19444444444444445
BiomedParseV2,,2d,0.0001226515019161191,0.0
BiomedParseV2,,2e,0.046572110209851976,0.14285714285714285
BiomedParseV2,,2f,0.0,0.0
BiomedParseV2,,2g,0.08126761188244046,0.0
BiomedParseV2,,2h,0.13263979197935558,1.0
VoxTell,,1a,9.345794391649925e-11,0.0
VoxTell,,1b,0.1271115650946599,0.5
VoxTell,,1c,0.08762806913003406,0.17647058823529413
VoxTell,,1d,0.026742560043166493,0.16666666666666666
VoxTell,,1e,0.2088234622851699,0.42857142857142855
VoxTell,,1f,0.18159925530723472,0.3333333333333333
VoxTell,,2a,0.2367986724233133,0.673469387755102
VoxTell,,2b,0.29385804767217605,0.6666666666666666
VoxTell,,2c,0.3160040354625186,0.6666666666666666
VoxTell,,2d,0.2993679915138828,0.7413793103448276
VoxTell,,2e,0.2927173741616037,0.42857142857142855
VoxTell,,2g,0.7993953692699387,1.0
VoxTell,,2h,0.5590419161852678,1.0
MedCompose-CT,,1a,0.14235013968101903,1.0
MedCompose-CT,,1b,0.10578007951688731,0.5
MedCompose-CT,,1c,0.050396039978743416,0.11764705882352941
