Rank,Date,Model Name,Institution,Model URL,BLEU,BertScore,SembScore,RadGraph,1/RadCliQ-v1,RaTEScore,GREEN,CRIMSON
1,2024,CheXagent,Stanford,https://github.com/Stanford-AIMI/CheXagent,0.154,0.346,0.346,0.147,0.74,0.474,0.257,0.096
2,2024,CheXpertPlus-MIMIC,Stanford,https://github.com/Stanford-AIMI/chexpert-plus,0.195,0.368,0.375,0.17,0.795,0.485,0.311,0.107
3,2024,CheXpertPlus-CheX,Stanford,https://github.com/Stanford-AIMI/chexpert-plus,0.11,0.32,0.325,0.142,0.703,0.469,0.225,0.026
4,2024,CheXpertPlus-CheX-MIMIC,Stanford,https://github.com/Stanford-AIMI/chexpert-plus,0.188,0.374,0.379,0.181,0.812,0.49,0.305,0.132
5,2023,Cvt2distilgpt2-MIMIC,CSIRO,https://github.com/aehrc/cvt2distilgpt2,0.167,0.336,0.33,0.149,0.724,0.432,0.268,0.09
6,2023,Cvt2distilgpt2-IU,CSIRO,https://github.com/aehrc/cvt2distilgpt2,0.081,0.304,0.191,0.103,0.614,0.448,0.164,0.042
7,2024,MedVersa,Harvard,https://huggingface.co/hyzhou/MedVersa/tree/main,0.271,0.444,0.465,0.269,1.086,0.55,0.374,0.17
8,2023,RadFM,SJTU,https://github.com/chaoyi-wu/RadFM,0.13,0.309,0.259,0.108,0.646,0.45,0.185,-0.074
9,2023,RaDialog,TUM,https://github.com/ChantalMP/RaDialog,0.17,0.354,0.385,0.17,0.787,0.485,0.273,0.035
10,2023,RGRG,TUM,https://github.com/ttanida/rgrg,0.185,0.345,0.341,0.167,0.75,0.491,0.273,-0.057
11,2023,VLCI-MIMIC,SYSU,https://github.com/WissingChen/VLCI,0.187,0.314,0.305,0.14,0.688,0.45,0.256,0.016
12,2023,VLCI-IU,SYSU,https://github.com/WissingChen/VLCI,0.12,0.274,0.212,0.109,0.606,0.449,0.21,0.038
13,2024,LLM-CXR,KAIST,https://github.com/hyn2028/llm-cxr,0.052,0.178,0.154,0.046,0.514,0.341,0.043,-0.4
14,2024,GPT4V,OpenAI,https://cdn.openai.com/papers/GPTV-System-Card.pdf,0.099,0.209,0.214,0.084,0.559,0.423,0.161,-0.158
15,2024,BiomedGPT-IU,Lehigh University,https://github.com/taokz/BiomedGPT,0.043,0.213,0.239,0.064,0.561,0.36,0.123,-0.018
16,2024,MAIRA-2,Microsoft,https://huggingface.co/microsoft/maira-2,0.088,0.308,0.339,0.131,0.694,0.517,0.224,0.075
17,2024,CXRMate-ED,CSIRO,https://huggingface.co/aehrc/cxrmate-ed,0.209,0.394,0.396,0.223,0.887,0.531,0.327,0.102
18,2024,CXRMate-RRG24,CSIRO,https://huggingface.co/aehrc/cxrmate-rrg24,0.198,0.38,0.424,0.22,0.887,0.521,0.338,0.153
19,2024,Libra,University of Glasgow,https://github.com/X-iZhang/Libra,0.232,0.402,0.403,0.218,0.897,0.523,0.356,0.152
20,2025,MoERad-IU,IIT Madras,https://github.com/gssriram/MoERad,0.064,0.321,0.213,0.122,0.643,0.455,0.174,0.043
21,2025,MoERad-MIMIC,IIT Madras,https://github.com/gssriram/MoERad,0.163,0.341,0.334,0.143,0.726,0.465,0.24,-0.016
22,2025,DD-LLaVA-X,SNUH,https://github.com/Gavroche11/rexrank-submission,0.154,0.349,0.402,0.182,0.801,0.505,0.301,0.114
23,2025,MedGemma,Google,https://huggingface.co/google/medgemma-4b-it,0.165,0.346,0.339,0.159,0.744,0.549,0.293,0.082
24,2025,UniRG-CXR,Microsoft Research,https://arxiv.org/abs/2601.17151,0.259,0.47,0.495,0.268,1.18,0.602,0.36,0.181
25,2025,CheXOne-R1,Stanford,https://github.com/YBZh/CheXOne-R1,0.215,0.441,0.456,0.234,1.023,0.519,0.314,0.08
26,2026,CARE-X,Microsoft Research,https://www.microsoft.com/en-us/research,0.267,0.489,0.469,0.283,1.213,0.607,0.388,0.225
27,2025,zzy-RGv1-8b,Individual,,0.217,0.439,0.456,0.253,1.046,0.579,0.339,0.209
28,2025,CX-Mind,SJTU,https://arxiv.org/pdf/2508.03733,0.153,0.394,0.323,0.174,0.793,0.543,0.267,0.062
29,2026,MedGemma 1.5 4B, Google,https://deepmind.google/models/gemma/medgemma/,0.117,0.228,0.355,0.152,0.653,0.565,0.284,0.006
30,2026,Deepwise-RG,Deepwise,https://www.deepwise.com/,0.264,0.496,0.524,0.316,1.394,0.619,0.386,0.26
