Rank,Date,Model Name,Institution,Model URL,BLEU,BertScore,SembScore,RadGraph,1/RadCliQ-v1,RaTEScore,GREEN,CRIMSON
1,2024,CheXagent,Stanford,https://github.com/Stanford-AIMI/CheXagent,0.119,0.367,0.502,0.138,0.852,0.503,0.389,0.633
2,2024,CheXpertPlus-MIMIC,Stanford,https://github.com/Stanford-AIMI/chexpert-plus,0.179,0.401,0.601,0.17,1.022,0.585,0.661,0.619
3,2024,CheXpertPlus-CheX,Stanford,https://github.com/Stanford-AIMI/chexpert-plus,0.157,0.411,0.495,0.153,0.917,0.534,0.541,0.559
4,2024,CheXpertPlus-CheX-MIMIC,Stanford,https://github.com/Stanford-AIMI/chexpert-plus,0.198,0.451,0.593,0.211,1.174,0.618,0.648,0.632
5,2023,Cvt2distilgpt2-MIMIC,CSIRO,https://github.com/aehrc/cvt2distilgpt2,0.201,0.437,0.614,0.208,1.165,0.606,0.682,0.632
6,2023,Cvt2distilgpt2-IU,CSIRO,https://github.com/aehrc/cvt2distilgpt2,0.244,0.476,0.548,0.265,1.268,0.62,0.686,0.654
7,2024,MedVersa,Harvard,https://huggingface.co/hyzhou/MedVersa/tree/main,0.215,0.473,0.609,0.234,1.294,0.65,0.631,0.623
8,2023,RadFM,SJTU,https://github.com/chaoyi-wu/RadFM,0.211,0.465,0.58,0.228,1.218,0.627,0.615,0.562
9,2023,RaDialog,TUM,https://github.com/ChantalMP/RaDialog,0.205,0.445,0.553,0.203,1.094,0.586,0.586,0.532
10,2023,RGRG,TUM,https://github.com/ttanida/rgrg,0.201,0.429,0.606,0.221,1.157,0.62,0.665,0.481
11,2023,VLCI-MIMIC,SYSU,https://github.com/WissingChen/VLCI,0.142,0.379,0.482,0.22,0.933,0.578,0.474,-0.036
12,2023,VLCI-IU,SYSU,https://github.com/WissingChen/VLCI,0.268,0.456,0.619,0.288,1.383,0.679,0.698,0.654
13,2024,LLM-CXR,KAIST,https://github.com/hyn2028/llm-cxr,0.033,0.174,0.062,0.023,0.482,0.28,0.025,-0.554
14,2024,GPT4V,OpenAI,https://cdn.openai.com/papers/GPTV-System-Card.pdf,0.072,0.217,0.408,0.144,0.664,0.517,0.651,0.52
15,2024,BiomedGPT-IU,Lehigh University,https://github.com/taokz/BiomedGPT,0.206,0.382,0.542,0.22,0.994,0.543,0.523,0.654
16,2024,MAIRA-2,Microsoft,https://huggingface.co/microsoft/maira-2,0.215,0.461,0.606,0.232,1.256,0.627,0.194,0.552
17,2024,CXRMate-ED,CSIRO,https://huggingface.co/aehrc/cxrmate-ed,0.229,0.485,0.557,0.249,1.274,0.655,0.685,0.534
18,2024,CXRMate-RRG24,CSIRO,https://huggingface.co/aehrc/cxrmate-rrg24,0.25,0.48,0.642,0.302,1.557,0.666,0.68,0.633
19,2024,Libra,University of Glasgow,https://github.com/X-iZhang/Libra,0.183,0.444,0.614,0.21,1.183,0.624,0.698,0.642
20,2025,MoERad-IU,IIT Madras,https://github.com/gssriram/MoERad,0.277,0.531,0.641,0.341,1.96,0.684,0.665,0.656
21,2025,MoERad-MIMIC,IIT Madras,https://github.com/gssriram/MoERad,0.171,0.421,0.559,0.178,1.022,0.603,0.584,0.573
22,2025,DD-LLaVA-X,SNUH,https://github.com/Gavroche11/rexrank-submission,0.189,0.445,0.6,0.233,1.207,0.636,0.671,0.635
23,2025,MedGemma,Google,https://huggingface.co/google/medgemma-4b-it,0.217,0.476,0.6,0.26,1.345,0.678,0.724,0.524
24,2025,UniRG-CXR,Microsoft Research,https://arxiv.org/abs/2601.17151,0.368,0.606,0.705,0.396,3.907,0.729,0.664,0.632
25,2025,CheXOne-R1,Stanford,https://github.com/YBZh/CheXOne-R1,0.254,0.507,0.611,0.277,1.515,0.617,0.585,0.49
26,2025,CX-Mind,SJTU,https://arxiv.org/pdf/2508.03733,0.21,0.504,0.613,0.23,1.385,0.662,0.644,0.648
27,2025,zzy-RGv1-8b,Individual,,0.216,0.467,0.609,0.225,1.262,0.629,0.588,0.601
28,2026,CARE-X,Microsoft Research,https://www.microsoft.com/en-us/research,0.279,0.552,0.662,0.301,1.976,0.702,0.63,0.661
29,2026,MedGemma 1.5 4B, Google,https://deepmind.google/models/gemma/medgemma/,0.214,0.446,0.643,0.263,1.339,0.675,0.706,0.561
30,2025,zzy-RGv2-2b,Individual,,0.295,0.549,0.66,0.336,2.134,0.684,0.632,0.615
31,2026,Deepwise-RG,Deepwise,https://www.deepwise.com/,0.316,0.552,0.668,0.337,2.198,0.684,0.64,0.641
